date,lag,corr,p_val,regime
2025-01-14T00:00:00,0,0.19006263797418768,1.0,High-Vol
2025-01-15T00:00:00,0,0.17905707350581382,1.0,High-Vol
2025-01-16T00:00:00,-6,0.19929848524666602,1.0,High-Vol
2025-01-17T00:00:00,-2,-0.19224483187883598,1.0,High-Vol
2025-01-22T00:00:00,-2,-0.23671053474894774,0.9560956520473063,High-Vol
2025-01-23T00:00:00,-2,-0.2168905505913631,1.0,High-Vol
2025-01-24T00:00:00,-2,-0.204612926911314,1.0,High-Vol
2025-01-28T00:00:00,-4,0.20223847451040555,1.0,High-Vol
2025-01-29T00:00:00,-4,0.235305471566484,1.0,High-Vol
2025-01-30T00:00:00,-4,0.23780688328662875,1.0,High-Vol
2025-01-31T00:00:00,-4,0.23607312341653205,1.0,High-Vol
2025-02-04T00:00:00,-4,0.23354778729477307,1.0,High-Vol
2025-02-05T00:00:00,5,-0.29072990360955964,0.4013144848649062,Low-Vol
2025-02-06T00:00:00,5,-0.28932202379605654,0.41263501835341154,Low-Vol
2025-02-07T00:00:00,5,-0.2962225086548867,0.3595748777651515,Low-Vol
2025-02-11T00:00:00,5,-0.3201207865642788,0.21753541538539523,Low-Vol
2025-02-12T00:00:00,5,-0.3050154962347766,0.30029107465414184,Low-Vol
2025-02-13T00:00:00,5,-0.30511352235482503,0.29967933805595726,Low-Vol
2025-02-14T00:00:00,5,-0.2913020254327431,0.39678809054770237,Low-Vol
2025-02-19T00:00:00,5,-0.2919168951135166,0.3919706381163717,Low-Vol
2025-02-20T00:00:00,5,-0.2932360133008185,0.3817985893377793,Low-Vol
2025-02-21T00:00:00,5,-0.3064715728567911,0.29131101655788383,Low-Vol
2025-02-25T00:00:00,5,-0.31979231916895284,0.21910461060408548,Low-Vol
2025-02-26T00:00:00,5,-0.32787638610752257,0.1831509215183662,Low-Vol
2025-02-27T00:00:00,5,-0.32730134002265415,0.18553113846546365,Low-Vol
2025-02-28T00:00:00,5,-0.31157818183731856,0.26157358754769544,Low-Vol
2025-03-04T00:00:00,4,0.2439266118169119,0.9091250706924459,Low-Vol
2025-03-05T00:00:00,4,0.25378531315029856,0.7658414028695075,Low-Vol
2025-03-06T00:00:00,2,0.15496808659558364,1.0,High-Vol
2025-03-07T00:00:00,5,-0.19698756417954835,1.0,High-Vol
2025-03-11T00:00:00,5,-0.1750167705674712,1.0,High-Vol
2025-03-12T00:00:00,2,0.17615792542817318,1.0,High-Vol
2025-03-13T00:00:00,5,-0.1921398215958492,1.0,High-Vol
2025-03-14T00:00:00,5,-0.2200012881485458,1.0,High-Vol
2025-03-18T00:00:00,5,-0.25711915172010114,0.7523251278428289,High-Vol
2025-03-19T00:00:00,4,0.27272954990831844,0.5413852476500138,High-Vol
2025-03-20T00:00:00,5,-0.266922313677819,0.6310703735095637,High-Vol
2025-03-21T00:00:00,-2,0.287536771764758,0.3667828546956524,High-Vol
