date,lag,corr,p_val,regime
2025-03-14T00:00:00,-2,0.19683793252385842,1.0,High-Vol
2025-03-18T00:00:00,-4,0.18363098492514096,1.0,High-Vol
2025-03-22T00:00:00,7,0.1851883597900016,1.0,High-Vol
2025-03-26T00:00:00,10,0.18209586214589926,1.0,High-Vol
2025-03-30T00:00:00,-8,-0.07138999019969935,1.0,High-Vol
2025-04-03T00:00:00,-10,-0.09301774014919441,1.0,High-Vol
2025-04-07T00:00:00,-10,0.3118890000807703,0.17364372984332865,High-Vol
2025-04-11T00:00:00,1,0.44849698248917125,0.004955342388137662,High-Vol
2025-04-15T00:00:00,5,0.4394944136730911,0.004294126696873679,High-Vol
2025-04-19T00:00:00,9,0.46142872336211427,0.0010532234311688704,High-Vol
2025-04-23T00:00:00,10,0.3352915735026192,0.09041352273634673,High-Vol
2025-04-27T00:00:00,10,0.2358070555735553,1.0,High-Vol
2025-05-01T00:00:00,10,0.24503962994495868,0.8530127148447331,High-Vol
2025-05-05T00:00:00,10,0.14166878091694363,1.0,High-Vol
2025-05-09T00:00:00,10,0.1266919961819681,1.0,High-Vol
2025-05-13T00:00:00,8,0.095951728697952,1.0,High-Vol
2025-05-17T00:00:00,10,0.06536458232659427,1.0,High-Vol
2025-05-21T00:00:00,9,0.0571240993251437,1.0,High-Vol
2025-05-25T00:00:00,-10,-0.2092333663591892,1.0,High-Vol
2025-05-29T00:00:00,-9,-0.23241102755710827,1.0,High-Vol
2025-06-02T00:00:00,-10,-0.6644519874123929,1.1734653249106941e-09,High-Vol
2025-06-06T00:00:00,-7,-0.6181204312607042,1.6096835198098347e-07,High-Vol
2025-06-10T00:00:00,-3,-0.6198383102986079,4.1558034946653777e-07,High-Vol
2025-06-14T00:00:00,10,-0.6334498474183962,2.0182532978196832e-08,High-Vol
2025-06-18T00:00:00,-6,-0.6138139225520636,2.907695650922193e-07,Low-Vol
2025-06-22T00:00:00,-10,-0.609115079280131,1.46719433935516e-07,Low-Vol
2025-06-26T00:00:00,9,-0.6249389502975035,5.4456521292323146e-08,Low-Vol
2025-06-30T00:00:00,10,-0.6089750033859772,1.483203226904095e-07,Low-Vol
2025-07-04T00:00:00,9,-0.6183358871389469,9.260254230092357e-08,Low-Vol
2025-07-08T00:00:00,6,-0.5715610627162685,5.243561147283415e-06,Low-Vol
2025-07-12T00:00:00,-7,-0.4413916291319732,0.0031424822737891045,Low-Vol
2025-07-16T00:00:00,10,-0.44677985563168426,0.001751123315517411,Low-Vol
2025-07-20T00:00:00,1,-0.4339673081154561,0.008414940231447732,Low-Vol
2025-07-24T00:00:00,-9,-0.38592731073947406,0.019836436463031237,Low-Vol
2025-07-28T00:00:00,-8,-0.4214382679013554,0.006103552050243266,Low-Vol
2025-08-01T00:00:00,-4,-0.41338741723418815,0.012485557206917797,Low-Vol
2025-08-05T00:00:00,3,-0.4886691854771104,0.0007333216326443903,Low-Vol
2025-08-09T00:00:00,7,-0.47491704058148126,0.0007578263418595022,Low-Vol
2025-08-13T00:00:00,9,-0.4650009918998321,0.0008986465231992646,High-Vol
2025-08-17T00:00:00,10,-0.3417537246834243,0.07478693074137777,High-Vol
2025-08-21T00:00:00,10,-0.30420505990584934,0.21270289886564475,High-Vol
2025-08-25T00:00:00,10,-0.14545231262511674,1.0,Low-Vol
2025-08-29T00:00:00,10,-0.14271376006176004,1.0,Low-Vol
2025-09-02T00:00:00,-6,-0.035509765282971194,1.0,Low-Vol
2025-09-06T00:00:00,3,-0.09925378894864198,1.0,Low-Vol
2025-09-10T00:00:00,7,-0.09244654927803136,1.0,Low-Vol
2025-09-14T00:00:00,9,-0.08237454694175458,1.0,Low-Vol
2025-09-18T00:00:00,10,-0.06354989593955163,1.0,Low-Vol
2025-09-22T00:00:00,-9,0.11706260143091754,1.0,Low-Vol
2025-09-26T00:00:00,-5,0.13455867506148553,1.0,Low-Vol
2025-09-30T00:00:00,-1,0.1540452449313198,1.0,Low-Vol
2025-10-04T00:00:00,2,0.1316678898829853,1.0,Low-Vol
2025-10-08T00:00:00,1,0.12369061627905635,1.0,Low-Vol
