date,lag,corr,p_val,regime
2025-01-14T00:00:00,-5,0.19428311936080997,1.0,High-Vol
2025-01-15T00:00:00,-6,-0.17715107515887502,1.0,High-Vol
2025-01-16T00:00:00,-6,-0.1581612200246277,1.0,High-Vol
2025-01-17T00:00:00,-5,0.16311415665280432,1.0,High-Vol
2025-01-22T00:00:00,-5,0.16749695056510788,1.0,High-Vol
2025-01-23T00:00:00,-1,0.167264207645029,1.0,High-Vol
2025-01-24T00:00:00,-6,-0.16005431515183288,1.0,High-Vol
2025-01-28T00:00:00,-6,-0.17948138831040159,1.0,High-Vol
2025-01-29T00:00:00,-6,-0.17489204304383535,1.0,High-Vol
2025-01-30T00:00:00,-6,-0.2074754202804826,1.0,High-Vol
2025-01-31T00:00:00,-6,-0.21278144488566889,1.0,High-Vol
2025-02-04T00:00:00,-6,-0.22227824134388996,1.0,High-Vol
2025-02-05T00:00:00,-6,-0.24704058355869168,0.931140841441505,Low-Vol
2025-02-06T00:00:00,-6,-0.24428291022356569,0.9748646739069475,Low-Vol
2025-02-07T00:00:00,-6,-0.23514021783100023,1.0,Low-Vol
2025-02-11T00:00:00,-6,-0.22636604603993127,1.0,Low-Vol
2025-02-12T00:00:00,-6,-0.23351598647461527,1.0,Low-Vol
2025-02-13T00:00:00,-6,-0.22956174781868902,1.0,Low-Vol
2025-02-14T00:00:00,-6,-0.21746659123298748,1.0,Low-Vol
2025-02-19T00:00:00,-6,-0.21523734539569836,1.0,Low-Vol
2025-02-20T00:00:00,-6,-0.17753157659041022,1.0,Low-Vol
2025-02-21T00:00:00,-6,-0.1772034695355192,1.0,Low-Vol
2025-02-25T00:00:00,-6,-0.14992890848174711,1.0,Low-Vol
2025-02-26T00:00:00,-6,-0.15056444292166443,1.0,Low-Vol
2025-02-27T00:00:00,-6,-0.16667101654342134,1.0,Low-Vol
2025-02-28T00:00:00,-6,-0.15770099639156873,1.0,Low-Vol
2025-03-04T00:00:00,3,-0.22235154465401208,1.0,Low-Vol
2025-03-05T00:00:00,-6,-0.17570899222737227,1.0,Low-Vol
2025-03-06T00:00:00,2,-0.19513642248596952,1.0,High-Vol
2025-03-07T00:00:00,4,0.18861759310299867,1.0,High-Vol
2025-03-11T00:00:00,-2,0.215372085390492,1.0,High-Vol
2025-03-12T00:00:00,0,0.19613793769860022,1.0,High-Vol
2025-03-13T00:00:00,4,0.18525145261254283,1.0,High-Vol
2025-03-14T00:00:00,-2,0.19841123378827824,1.0,High-Vol
2025-03-18T00:00:00,-2,0.2020248394409759,1.0,High-Vol
2025-03-19T00:00:00,4,0.20251650777228633,1.0,High-Vol
2025-03-20T00:00:00,-3,0.19206787126499658,1.0,High-Vol
2025-03-21T00:00:00,-3,0.1972609650076134,1.0,High-Vol
