date,lag,corr,p_val,regime
2025-03-14T00:00:00,-10,0.24976158402011617,0.7716896379522251,High-Vol
2025-03-18T00:00:00,-6,0.2209947348030087,1.0,High-Vol
2025-03-22T00:00:00,8,0.21644134676596444,1.0,High-Vol
2025-03-26T00:00:00,10,0.2241837182370618,1.0,High-Vol
2025-03-30T00:00:00,10,0.09430531850478333,1.0,High-Vol
2025-04-03T00:00:00,-2,0.09038249101508718,1.0,High-Vol
2025-04-07T00:00:00,-9,0.32462036314504966,0.13052124247584995,High-Vol
2025-04-11T00:00:00,4,0.3124496426392889,0.24315733247040971,High-Vol
2025-04-15T00:00:00,8,0.29340330893050354,0.3109100200844679,High-Vol
2025-04-19T00:00:00,9,0.2482311919058099,0.8280464582492071,High-Vol
2025-04-23T00:00:00,-10,0.2488715889372695,0.7865066905348215,High-Vol
2025-04-27T00:00:00,-10,0.25727767401069734,0.6555324430524703,High-Vol
2025-05-01T00:00:00,-6,0.23955243592122455,1.0,High-Vol
2025-05-05T00:00:00,-4,0.2458148677173093,1.0,High-Vol
2025-05-09T00:00:00,10,0.25668021370838273,0.6641987591822456,High-Vol
2025-05-13T00:00:00,10,0.21770370070019476,1.0,High-Vol
2025-05-17T00:00:00,-9,0.23789979641482958,1.0,High-Vol
2025-05-21T00:00:00,-5,0.23464147369921237,1.0,High-Vol
2025-05-25T00:00:00,10,0.22248218879538217,1.0,High-Vol
2025-05-29T00:00:00,10,0.23190176706104138,1.0,High-Vol
2025-06-02T00:00:00,10,0.22044720270243431,1.0,High-Vol
2025-06-06T00:00:00,-3,-0.15214922387430688,1.0,High-Vol
2025-06-10T00:00:00,-3,-0.12975135431228985,1.0,High-Vol
2025-06-14T00:00:00,7,-0.1281516742301106,1.0,High-Vol
2025-06-18T00:00:00,-4,-0.063003233490304,1.0,Low-Vol
2025-06-22T00:00:00,-10,-0.11394342420269675,1.0,Low-Vol
2025-06-26T00:00:00,-8,-0.07105689577552565,1.0,Low-Vol
2025-06-30T00:00:00,10,-0.09521507739069873,1.0,Low-Vol
2025-07-04T00:00:00,10,-0.11498034425391201,1.0,Low-Vol
