date,lag,corr,p_val,regime
2025-03-14T00:00:00,-3,-0.2291487050085678,1.0,High-Vol
2025-03-18T00:00:00,4,-0.22144409708602128,1.0,High-Vol
2025-03-22T00:00:00,-7,-0.25828491916282936,0.7245357199765774,High-Vol
2025-03-26T00:00:00,-3,-0.2708102686727129,0.6604212963309806,High-Vol
2025-03-30T00:00:00,-1,-0.2657440874363687,0.8004178935248722,High-Vol
2025-04-03T00:00:00,1,-0.19940637616877938,1.0,High-Vol
2025-04-07T00:00:00,3,-0.12973134195868297,1.0,High-Vol
2025-04-11T00:00:00,-9,0.21108064188864775,1.0,High-Vol
2025-04-15T00:00:00,4,0.19429400900134292,1.0,High-Vol
2025-04-19T00:00:00,-8,0.21823338834185402,1.0,High-Vol
2025-04-23T00:00:00,-10,0.29437095569775695,0.2735997753296462,High-Vol
2025-04-27T00:00:00,-6,0.2785991930202881,0.4856463782018241,High-Vol
2025-05-01T00:00:00,7,0.24859889139920593,0.8866077996353305,High-Vol
2025-05-05T00:00:00,-10,0.3356337410583157,0.08951915980000669,High-Vol
2025-05-09T00:00:00,2,0.23148649048020659,1.0,High-Vol
2025-05-13T00:00:00,6,0.3343755034599944,0.12132632091511342,High-Vol
2025-05-17T00:00:00,10,0.3336196575529419,0.0948977258064374,High-Vol
2025-05-21T00:00:00,9,0.18111532057050714,1.0,High-Vol
2025-05-25T00:00:00,-9,0.1460688700107084,1.0,High-Vol
2025-05-29T00:00:00,10,0.18922627989697996,1.0,High-Vol
2025-06-02T00:00:00,-8,-0.2437954812945475,0.942129037613396,High-Vol
2025-06-06T00:00:00,-10,-0.28291529297955226,0.3628802856753246,High-Vol
2025-06-10T00:00:00,6,-0.27037750072522015,0.5827974067901749,High-Vol
2025-06-14T00:00:00,-9,-0.3589805007006645,0.04768616139519333,High-Vol
2025-06-18T00:00:00,-5,-0.34267698401469815,0.10339703252942734,Low-Vol
2025-06-22T00:00:00,10,-0.352549075426068,0.05394995527491142,Low-Vol
2025-06-26T00:00:00,10,-0.34416819355622985,0.06959212696675099,Low-Vol
2025-06-30T00:00:00,10,-0.3412107104793183,0.07600138500088494,Low-Vol
2025-07-04T00:00:00,7,-0.3446938771615324,0.08477144802076375,Low-Vol
