date,lag,corr,p_val,regime
2025-03-14T00:00:00,-2,0.21929681042363192,1.0,High-Vol
2025-03-18T00:00:00,-7,0.18532880640758378,1.0,High-Vol
2025-03-22T00:00:00,4,0.13978013926225424,1.0,High-Vol
2025-03-26T00:00:00,8,0.172245823327216,1.0,High-Vol
2025-03-30T00:00:00,10,0.14578964421508392,1.0,High-Vol
2025-04-03T00:00:00,5,0.06935048382943408,1.0,High-Vol
2025-04-07T00:00:00,-6,0.47543822263909374,0.0008522102045049884,High-Vol
2025-04-11T00:00:00,3,0.4818807409492998,0.000987400570503505,High-Vol
2025-04-15T00:00:00,7,0.47986135424808535,0.0006056523277584436,High-Vol
2025-04-19T00:00:00,10,0.47664473045127836,0.00045863906453669223,High-Vol
2025-04-23T00:00:00,9,0.4316365108277975,0.0036760399210287176,High-Vol
2025-04-27T00:00:00,-10,0.40504393229668634,0.00916603661119364,High-Vol
2025-05-01T00:00:00,-8,0.4062259497500777,0.010707867324092346,High-Vol
2025-05-05T00:00:00,10,0.40762381904319445,0.008330406882702812,High-Vol
2025-05-09T00:00:00,9,0.40639900742736007,0.009631398839212268,High-Vol
2025-05-13T00:00:00,7,0.3929516458734828,0.0187493730447732,High-Vol
2025-05-17T00:00:00,-10,0.3683596607913489,0.0326981062535554,High-Vol
2025-05-21T00:00:00,9,0.38974852507796187,0.01739996283294798,High-Vol
2025-05-25T00:00:00,10,0.35499004781422333,0.050024491328792164,High-Vol
2025-05-29T00:00:00,10,0.3677923463571499,0.03330670038683636,High-Vol
2025-06-02T00:00:00,10,0.36063906156816944,0.04189784701589905,High-Vol
2025-06-06T00:00:00,-3,-0.16187352857169945,1.0,High-Vol
2025-06-10T00:00:00,10,-0.28589947583570724,0.33751674173238055,High-Vol
2025-06-14T00:00:00,-9,-0.13479652754087504,1.0,High-Vol
2025-06-18T00:00:00,-5,-0.14410774867592158,1.0,Low-Vol
2025-06-22T00:00:00,4,-0.09053797220555605,1.0,Low-Vol
2025-06-26T00:00:00,8,-0.11465720291135804,1.0,Low-Vol
2025-06-30T00:00:00,10,-0.15029068014964092,1.0,Low-Vol
2025-07-04T00:00:00,-8,0.15025140773561682,1.0,Low-Vol
2025-07-08T00:00:00,-7,0.1622202622445166,1.0,Low-Vol
2025-07-12T00:00:00,10,0.15658829583537262,1.0,Low-Vol
2025-07-16T00:00:00,8,0.15159527383446347,1.0,Low-Vol
2025-07-20T00:00:00,10,0.16078932976204538,1.0,Low-Vol
2025-07-24T00:00:00,-6,0.15363444742295304,1.0,Low-Vol
2025-07-28T00:00:00,-2,0.16196563774650663,1.0,Low-Vol
2025-08-01T00:00:00,-10,-0.28370339543735723,0.3560291163843643,Low-Vol
2025-08-05T00:00:00,3,-0.26534611974655914,0.7397533030853187,Low-Vol
2025-08-09T00:00:00,-7,-0.2790998269500466,0.45802921367026306,Low-Vol
2025-08-13T00:00:00,-10,-0.311356029908577,0.17613592016723922,High-Vol
2025-08-17T00:00:00,-9,-0.3369813394144066,0.09210983379353599,High-Vol
2025-08-21T00:00:00,10,-0.346326268070031,0.06522187172641014,High-Vol
2025-08-25T00:00:00,9,-0.302178827094,0.23680441479004877,Low-Vol
2025-08-29T00:00:00,10,-0.3272424976735813,0.11384947339482698,Low-Vol
2025-09-02T00:00:00,-4,-0.2381054516253901,1.0,Low-Vol
2025-09-06T00:00:00,1,-0.25217384885504346,1.0,Low-Vol
2025-09-10T00:00:00,-10,-0.30049501231610953,0.23413783946442135,Low-Vol
2025-09-14T00:00:00,-10,-0.3124658323059156,0.17098102068720045,Low-Vol
2025-09-18T00:00:00,-10,-0.2970369997296912,0.25576897966064127,Low-Vol
2025-09-22T00:00:00,-7,-0.31609135494470775,0.1855268146054163,Low-Vol
2025-09-26T00:00:00,-3,-0.3614539496552309,0.07065861161421427,Low-Vol
2025-09-30T00:00:00,-4,-0.21640836768716595,1.0,Low-Vol
2025-10-04T00:00:00,-8,-0.3869863253211693,0.020933270947556704,Low-Vol
2025-10-08T00:00:00,-10,-0.36490665098997355,0.03656199300031582,Low-Vol
2025-10-12T00:00:00,-10,-0.49766640643293847,0.00016362055747287663,High-Vol
2025-10-16T00:00:00,6,-0.37664743999049594,0.03495939204847942,High-Vol
2025-10-20T00:00:00,10,-0.4817583666077002,0.0003594324548201744,High-Vol
2025-10-24T00:00:00,10,-0.31591591898891636,0.15578410522793762,High-Vol
2025-10-28T00:00:00,8,-0.32200255024623753,0.14923098457346984,High-Vol
2025-11-01T00:00:00,4,-0.2645124938958536,0.7208482497150146,Low-Vol
2025-11-05T00:00:00,8,-0.24880087037823068,0.8499200353122349,Low-Vol
2025-11-09T00:00:00,10,-0.23254563353788368,1.0,Low-Vol
2025-11-13T00:00:00,10,-0.17924630520163617,1.0,High-Vol
2025-11-17T00:00:00,-2,-0.15415136266409138,1.0,High-Vol
2025-11-21T00:00:00,0,-0.15340989029550606,1.0,High-Vol
2025-11-25T00:00:00,1,-0.1355450478090954,1.0,High-Vol
2025-11-29T00:00:00,5,-0.1349245920993995,1.0,High-Vol
2025-12-03T00:00:00,9,-0.08486486050830984,1.0,High-Vol
2025-12-07T00:00:00,9,-0.05863350774938245,1.0,High-Vol
2025-12-11T00:00:00,-4,-0.05959213957578112,1.0,Low-Vol
2025-12-15T00:00:00,10,-0.06579381380408639,1.0,Low-Vol
2025-12-19T00:00:00,-1,-0.059402147403994104,1.0,Low-Vol
2025-12-23T00:00:00,1,-0.06486193828164771,1.0,Low-Vol
2025-12-27T00:00:00,-10,-0.09921492926725377,1.0,Low-Vol
2025-12-31T00:00:00,0,0.05464248376665748,1.0,Low-Vol
2026-01-04T00:00:00,-9,0.10691953101501536,1.0,Low-Vol
2026-01-08T00:00:00,-5,0.17730289173881625,1.0,Low-Vol
