date,lag,corr,p_val,regime
2025-01-14T00:00:00,2,-0.25254624514411583,0.722483831865139,High-Vol
2025-01-15T00:00:00,2,-0.24213673571924327,0.8701407458061803,High-Vol
2025-01-16T00:00:00,2,-0.25426846746964527,0.7001214744143671,High-Vol
2025-01-17T00:00:00,-3,0.1342086901482032,1.0,High-Vol
2025-01-22T00:00:00,6,0.14754005373430437,1.0,High-Vol
2025-01-23T00:00:00,6,0.1545703560161124,1.0,High-Vol
2025-01-24T00:00:00,6,0.1452924806620028,1.0,High-Vol
2025-01-28T00:00:00,6,0.16876095204771716,1.0,High-Vol
2025-01-29T00:00:00,6,0.1652283758075652,1.0,High-Vol
2025-01-30T00:00:00,2,-0.166841801264552,1.0,High-Vol
2025-01-31T00:00:00,2,-0.1781706393466039,1.0,High-Vol
2025-02-04T00:00:00,2,-0.1746881811545936,1.0,High-Vol
2025-02-05T00:00:00,2,-0.17274799176685524,1.0,Low-Vol
2025-02-06T00:00:00,2,-0.18477455579238028,1.0,Low-Vol
2025-02-07T00:00:00,1,-0.15627829816461472,1.0,Low-Vol
2025-02-11T00:00:00,1,-0.162436245256382,1.0,Low-Vol
2025-02-12T00:00:00,1,-0.161308191680736,1.0,Low-Vol
2025-02-13T00:00:00,1,-0.15886000396557323,1.0,Low-Vol
2025-02-14T00:00:00,1,-0.15859905290988638,1.0,Low-Vol
2025-02-19T00:00:00,1,-0.16986830455601068,1.0,Low-Vol
2025-02-20T00:00:00,1,-0.1616268829169987,1.0,Low-Vol
2025-02-21T00:00:00,2,-0.1421364541879139,1.0,Low-Vol
2025-02-25T00:00:00,2,-0.13570309219188936,1.0,Low-Vol
2025-02-26T00:00:00,2,-0.14247490811573726,1.0,Low-Vol
2025-02-27T00:00:00,5,-0.14660492262059896,1.0,Low-Vol
2025-02-28T00:00:00,-1,0.15080075741706642,1.0,Low-Vol
2025-03-04T00:00:00,-1,0.1367834045086195,1.0,Low-Vol
2025-03-05T00:00:00,-5,-0.16560035504776752,1.0,Low-Vol
2025-03-06T00:00:00,-5,-0.16213801140877918,1.0,High-Vol
2025-03-07T00:00:00,-5,-0.13306729131574416,1.0,High-Vol
2025-03-11T00:00:00,-5,-0.1943912570063375,1.0,High-Vol
2025-03-12T00:00:00,-5,-0.1932016075550506,1.0,High-Vol
2025-03-13T00:00:00,-5,-0.19362009347354708,1.0,High-Vol
2025-03-14T00:00:00,5,-0.16747207550727553,1.0,High-Vol
2025-03-18T00:00:00,3,-0.18982776949745134,1.0,High-Vol
2025-03-19T00:00:00,3,-0.17709245224496054,1.0,High-Vol
2025-03-20T00:00:00,3,-0.15861597226319507,1.0,High-Vol
2025-03-21T00:00:00,3,-0.15281647003669274,1.0,High-Vol
