date,lag,corr,p_val,regime
2025-01-14T00:00:00,4,-0.15699977367832005,1.0,High-Vol
2025-01-15T00:00:00,4,-0.19206263687993544,1.0,High-Vol
2025-01-16T00:00:00,-5,0.1658506673307575,1.0,High-Vol
2025-01-17T00:00:00,1,-0.20536088235586386,1.0,High-Vol
2025-01-22T00:00:00,2,0.2411484712365792,0.8853208602348088,High-Vol
2025-01-23T00:00:00,2,0.27675730388094305,0.45603445851006796,High-Vol
2025-01-24T00:00:00,2,0.2680900990251243,0.5401392912792264,High-Vol
2025-01-28T00:00:00,2,0.2678509531723374,0.5426282626480832,High-Vol
2025-01-29T00:00:00,3,-0.24463393847991047,0.8647826439503139,High-Vol
2025-01-30T00:00:00,3,-0.23068692634637164,1.0,High-Vol
2025-01-31T00:00:00,3,-0.2142499516867083,1.0,High-Vol
2025-02-04T00:00:00,0,0.23203564531808124,0.9668171837346511,High-Vol
2025-02-05T00:00:00,0,0.2781819342664792,0.4030063308971428,Low-Vol
2025-02-06T00:00:00,0,0.27335230630222535,0.4447139107078386,Low-Vol
2025-02-07T00:00:00,0,0.29090947574458564,0.30836764781110215,Low-Vol
2025-02-11T00:00:00,0,0.26609645301975837,0.5140189061569167,Low-Vol
2025-02-12T00:00:00,5,-0.2605827702882659,0.7075179598798673,Low-Vol
2025-02-13T00:00:00,5,-0.2626189160594833,0.6821939943870843,Low-Vol
2025-02-14T00:00:00,5,-0.25902072602560605,0.7274525664436031,Low-Vol
2025-02-19T00:00:00,-6,-0.27182469646816665,0.6038710992465897,Low-Vol
2025-02-20T00:00:00,0,0.277871842674964,0.40558304485835217,Low-Vol
2025-02-21T00:00:00,0,0.3077473143788701,0.21240126434750195,Low-Vol
2025-02-25T00:00:00,0,0.30672303033136694,0.2174093420128893,Low-Vol
2025-02-26T00:00:00,0,0.3169001014849848,0.171836559396237,Low-Vol
2025-02-27T00:00:00,0,0.31727379582300785,0.17033183231477222,Low-Vol
2025-02-28T00:00:00,0,0.3214161993128943,0.15439192104663912,Low-Vol
2025-03-04T00:00:00,0,0.3581202323149659,0.06067644973873221,Low-Vol
2025-03-05T00:00:00,0,0.35365551452611677,0.06840683558659943,Low-Vol
2025-03-06T00:00:00,0,0.3359237049750574,0.10822510971505173,High-Vol
2025-03-07T00:00:00,0,0.3298999305300424,0.1256964496759987,High-Vol
2025-03-11T00:00:00,0,0.28238291096083107,0.3694151815774602,High-Vol
2025-03-12T00:00:00,0,0.29636604202804745,0.27392400908876535,High-Vol
2025-03-13T00:00:00,-3,-0.28070942947064886,0.442428669775653,High-Vol
2025-03-14T00:00:00,-3,-0.27836831682107466,0.4633109913499236,High-Vol
2025-03-18T00:00:00,0,0.27469644040329316,0.43276359412443255,High-Vol
2025-03-19T00:00:00,0,0.29964638267793786,0.2548204203164035,High-Vol
2025-03-20T00:00:00,0,0.29730070405578685,0.2683619092806031,High-Vol
2025-03-21T00:00:00,0,0.29190008382892196,0.3018580662134145,High-Vol
