date,lag,corr,p_val,regime
2025-01-14T00:00:00,4,-0.2605966499795533,0.6778486898267431,High-Vol
2025-01-15T00:00:00,4,-0.25318586948194177,0.7740032870815481,High-Vol
2025-01-16T00:00:00,4,-0.197748389231683,1.0,High-Vol
2025-01-17T00:00:00,4,-0.20404588991433315,1.0,High-Vol
2025-01-22T00:00:00,4,-0.25677745102705485,0.7261245879453033,High-Vol
2025-01-23T00:00:00,4,-0.23802502230845224,1.0,High-Vol
2025-01-24T00:00:00,4,-0.22103098221295475,1.0,High-Vol
2025-01-28T00:00:00,4,-0.21184176754943904,1.0,High-Vol
2025-01-29T00:00:00,4,-0.2209683590833676,1.0,High-Vol
2025-01-30T00:00:00,4,-0.2146340051842094,1.0,High-Vol
2025-01-31T00:00:00,4,-0.2028915111939118,1.0,High-Vol
2025-02-04T00:00:00,4,-0.21429538291025144,1.0,High-Vol
2025-02-05T00:00:00,4,-0.22391184574324993,1.0,Low-Vol
2025-02-06T00:00:00,4,-0.20429819721804177,1.0,Low-Vol
2025-02-07T00:00:00,4,-0.19430683710665578,1.0,Low-Vol
2025-02-11T00:00:00,4,-0.1770774414969677,1.0,Low-Vol
2025-02-12T00:00:00,3,-0.18622430955117655,1.0,Low-Vol
2025-02-13T00:00:00,3,-0.18259447958130218,1.0,Low-Vol
2025-02-14T00:00:00,4,-0.16462014155611462,1.0,Low-Vol
2025-02-19T00:00:00,4,-0.19376098903496902,1.0,Low-Vol
2025-02-20T00:00:00,4,-0.1962647266652626,1.0,Low-Vol
2025-02-21T00:00:00,-3,-0.189666213511647,1.0,Low-Vol
2025-02-25T00:00:00,4,-0.18374542313857908,1.0,Low-Vol
2025-02-26T00:00:00,4,-0.19327442364233466,1.0,Low-Vol
2025-02-27T00:00:00,-5,-0.22049376537288334,1.0,Low-Vol
2025-02-28T00:00:00,-5,-0.23273237120455603,1.0,Low-Vol
2025-03-04T00:00:00,-3,-0.21416760218354555,1.0,Low-Vol
2025-03-05T00:00:00,-5,-0.21954051849255685,1.0,Low-Vol
2025-03-06T00:00:00,-3,-0.20535401870197148,1.0,High-Vol
2025-03-07T00:00:00,4,-0.17666384071582272,1.0,High-Vol
2025-03-11T00:00:00,1,0.17172182690748258,1.0,High-Vol
2025-03-12T00:00:00,1,0.20844077775557945,1.0,High-Vol
2025-03-13T00:00:00,4,-0.20054802908938252,1.0,High-Vol
2025-03-14T00:00:00,4,-0.1918362903144124,1.0,High-Vol
2025-03-18T00:00:00,4,-0.19602496740228384,1.0,High-Vol
2025-03-19T00:00:00,4,-0.18803918561022676,1.0,High-Vol
2025-03-20T00:00:00,4,-0.1754940282199085,1.0,High-Vol
2025-03-21T00:00:00,0,-0.1754715139196913,1.0,High-Vol
