target,candidate,composite_score,best_lag,peak_correlation,p_value
SI=F,GC=F,0.36105907601248066,9,0.802934322830041,0.0
GC=F,SI=F,0.3610590760124806,9,0.802934322830041,0.0
SI=F,HG=F,0.17199549461572264,-9,0.8081020871385854,0.0
HG=F,SI=F,0.17199549461572264,-9,0.8081020871385854,0.0
HG=F,GC=F,0.12766764079024462,-6,0.734301762793818,4.980016399258602e-12
GC=F,HG=F,0.1276676407902446,-6,0.734301762793818,4.980016399258602e-12
HG=F,QQQ,0.047382318649179724,1,0.30138803193533426,0.37471040439988834
CL=F,SPY,0.044979184427132266,-10,0.11267431659650962,1.0
SI=F,GOOGL,0.042304166554836035,-8,-0.11923820865381983,1.0
CL=F,QQQ,0.038697606982343966,-10,0.06644087692080015,1.0
GC=F,NVDA,0.03749691745236332,9,0.18252336461887983,1.0
CL=F,HG=F,0.03672675008692136,9,-0.2458231802023416,0.8708096582973139
HG=F,CL=F,0.03672675008692136,9,-0.2458231802023416,0.8708096582973139
NG=F,META,0.03494784413832427,-9,-0.07873915336463146,1.0
GC=F,GOOGL,0.030708382368688083,10,0.11420446124558636,1.0
GC=F,QQQ,0.030328376904819824,1,0.2868887291191075,0.5161430473024731
NG=F,AAPL,0.025307596986642308,1,0.3018276568238299,0.37099532495922793
SI=F,BTC-USD,0.024784608362234315,-4,0.25888132944248743,0.8094570394982674
CL=F,META,0.02406705613650053,-3,0.19736649446300258,1.0
SI=F,QQQ,0.023077035515825323,1,0.2451941784603211,1.0
CL=F,GOOGL,0.022446298443434806,1,0.09522685087935426,1.0
SI=F,AAPL,0.02239388617481189,-9,-0.11991364028646188,1.0
NG=F,SPY,0.022272100612868804,7,0.15678806209842863,1.0
NG=F,QQQ,0.022184423041531263,-8,0.13710102875857308,1.0
SI=F,META,0.021200892868697117,-5,0.17730289173881625,1.0
HG=F,NVDA,0.020801188282649683,9,0.253491085034266,0.7406344423827542
HG=F,AAPL,0.020798964274724937,1,-0.1545149604651777,1.0
HG=F,BTC-USD,0.020638350703408546,-1,0.2323463802297075,1.0
CL=F,NVDA,0.02039861376227189,-10,0.04835757196353371,1.0
GC=F,AAPL,0.01596250637580686,-9,-0.17233650647475107,1.0
NG=F,NVDA,0.015336870437339374,-8,0.16823438902104468,1.0
CL=F,SI=F,0.015252659355506317,9,-0.3127308978908541,0.17999985300561816
SI=F,CL=F,0.015252659355506317,9,-0.3127308978908541,0.17999985300561816
SI=F,NVDA,0.014889659003789961,9,0.13932018952854955,1.0
GC=F,META,0.013018618369385584,-6,0.2680161469160063,0.669881519497304
CL=F,GC=F,0.010439733151589472,9,-0.3320008938422605,0.10618875382044934
GC=F,CL=F,0.010439733151589468,9,-0.3320008938422605,0.10618875382044934
HG=F,GOOGL,0.007638600331500171,-8,-0.12009121802217199,1.0
CL=F,BTC-USD,0.006602256739003036,8,-0.12079264214367189,1.0
NG=F,CL=F,0.005535657388013317,9,0.3597686823917107,0.04653096832520509
GC=F,SPY,0.003249590046551687,0,0.38939491794006503,0.04014327723697031
HG=F,META,0.002343768531307028,0,0.22171251510409956,1.0
SI=F,SPY,0.002115158969690925,0,0.3054908536895172,0.3611454836923633
CL=F,AAPL,0.0016663076980013342,0,0.10687782313109781,1.0
NG=F,HG=F,0.0016109138427218503,10,0.35751065375256846,0.046239558177381346
HG=F,SPY,0.0014486695066061141,0,0.38540430734647113,0.045225943873120844
NG=F,GOOGL,0.0010992805987970991,-10,0.22943614116734146,1.0
NG=F,GC=F,0.0008925372049009098,-9,-0.19422827619690305,1.0
NG=F,SI=F,0.0008816480679649675,10,0.2564148011469055,0.6680791233526315
GC=F,BTC-USD,0.0,-4,0.20547341085076143,1.0
NG=F,BTC-USD,0.0,-10,-0.21084052904178535,1.0
